participant_id, baseline_P1, baseline_P2, monitor_P1, monitor_P2, oculus_P1, oculus_P2
5, 20.9542480944, 21.1865341188, 22.2914731503, 17.5501971724, 26.5018294335, 18.121710253
7, 22.0190594199, 28.4780249594, 23.5778760194, 24.9922390934, 20.0015015841, 22.5862212184
8, 46.773140635, 27.243390004, 30.755464816, 26.0429553986, 44.9397780367, 26.0150092126
9, 20.7008148669, 21.4515890122, 26.4686969041, 26.2029799938, 18.7621688843, 40.2987891674
11, 34.7668272853, 31.9286002517, 24.4448381186, 18.0876012324, 21.4235951636, 23.4764665362
12, 33.5652723788, 32.4621030328, 35.6352754355, 24.3518878222, 27.5173246385, 24.7304914595
13, 30.8558735849, 25.3646392348, 25.8018498183, 17.4804056168, 25.7972730532, 19.3240148064
14, 24.9928372963, 23.5231926438, 21.8371541738, 22.492056191, 27.9145276069, 23.5514806748
15, 34.8081727264, 18.000920248, 18.3605612991, 24.251603413, 19.4661914588, 18.490729332
16, 30.4530646797, 23.1294197237, 20.5210130215, 20.9704152108, 22.2624777555, 26.8309751988
17, 28.4078436693, 20.6806833147, 27.1952634095, 36.0171293736, 25.5393838882, 26.1276515482
18, 27.2459732534, 27.2773712158, 23.1406671523, 21.807431412, 25.1917521716, 24.1295975684
19, 21.5866187334, 22.795895195, 31.3000660471, 22.3813662054, 25.8453441858, 34.867553592
20, 28.1068607171, 24.2880173325, 25.4616526127, 24.9469086168, 28.576853718, 27.8766557572
21, 36.6413929989, 28.9025632735, 31.7437707902, 19.0875699998, 29.6536792279, 22.4621660232
22, 34.3919973375, 30.7860387563, 27.2287403105, 25.1248729708, 36.7876483796, 34.3140784264
23, 29.9750096267, 22.577516794, 26.4662708998, 19.0165198328, 28.774918294, 23.8515277386
24, 31.321290761, 20.6877094268, 20.5850066186, 23.4274425984, 24.1601609946, 19.6676502232
25, 48.623909023, 20.7278975962, 27.0040985824, 22.9900471686, 21.5376924275, 19.2232967854
26, 26.3128375052, 24.4156759264, 30.5390398505, 22.0846554278, 22.5590992691, 19.2651880266
